Time,N,p,M,k,DB,found,foundInFilter
2.54837,1024,0,100000,1,NoFilter,0,1024
1.40776,1024,0,100000,1,BloomFilter,0,612
2.62336,1024,0.25,100000,1,NoFilter,256,1024
1.70941,1024,0.25,100000,1,BloomFilter,256,716
2.67969,1024,0.5,100000,1,NoFilter,512,1024
2.04665,1024,0.5,100000,1,BloomFilter,512,821
2.74675,1024,0.75,100000,1,NoFilter,768,1024
2.34788,1024,0.75,100000,1,BloomFilter,768,925
2.81405,1024,1,100000,1,NoFilter,1024,1024
2.64699,1024,1,100000,1,BloomFilter,1024,1024
10.2117,4096,0,100000,1,NoFilter,0,4096
5.79675,4096,0,100000,1,BloomFilter,0,2515
10.465,4096,0.25,100000,1,NoFilter,1024,4096
7.52408,4096,0.25,100000,1,BloomFilter,1024,2927
10.9326,4096,0.5,100000,1,NoFilter,2048,4096
8.32502,4096,0.5,100000,1,BloomFilter,2048,3321
11.1185,4096,0.75,100000,1,NoFilter,3072,4096
9.4538,4096,0.75,100000,1,BloomFilter,3072,3695
11.4091,4096,1,100000,1,NoFilter,4096,4096
10.6673,4096,1,100000,1,BloomFilter,4096,4096
40.7884,16384,0,100000,1,NoFilter,0,16384
22.6786,16384,0,100000,1,BloomFilter,0,9944
41.5762,16384,0.25,100000,1,NoFilter,4096,16384
28.0047,16384,0.25,100000,1,BloomFilter,4096,11525
43.1624,16384,0.5,100000,1,NoFilter,8192,16384
32.7186,16384,0.5,100000,1,BloomFilter,8192,13188
44.1403,16384,0.75,100000,1,NoFilter,12288,16384
37.3037,16384,0.75,100000,1,BloomFilter,12288,14771
45.0943,16384,1,100000,1,NoFilter,16384,16384
42.343,16384,1,100000,1,BloomFilter,16384,16384
162.936,65536,0,100000,1,NoFilter,0,65536
89.9692,65536,0,100000,1,BloomFilter,0,39363
166.522,65536,0.25,100000,1,NoFilter,16384,65536
108.599,65536,0.25,100000,1,BloomFilter,16384,45803
170.309,65536,0.5,100000,1,NoFilter,32768,65536
135.869,65536,0.5,100000,1,BloomFilter,32768,52436
183.127,65536,0.75,100000,1,NoFilter,49152,65536
157.557,65536,0.75,100000,1,BloomFilter,49152,58912
193.924,65536,1,100000,1,NoFilter,65536,65536
181.366,65536,1,100000,1,BloomFilter,65536,65536
